Continent,Country,Year,Energy,Industrial Processes,Agriculture,Waste,Land-Use Change and Forestry,Other Fuel Combustion,Fugitive Emissions
Asia,Afghanistan,1990,3.7740439025762664,0.05714022812099503,7.3427099,4.038953623810778,0,,1.2422199025762661
Asia,Afghanistan,1991,3.3768028967137833,0.05857305998291933,7.631027200000001,4.220035859208492,0,,1.020850896713783
Asia,Afghanistan,1992,1.9143001881612998,0.06366989184484365,7.6314427,4.401118094606205,0,,0.6025881881612997
Asia,Afghanistan,1993,1.6780728849898168,0.06510272370676795,7.7027416,4.582200330003919,0,,0.41399288498981657
Asia,Afghanistan,1994,1.4564505457943333,0.06653555556869226,7.6991389,4.763282565401632,0,,0.2473305457943334
Asia,Afghanistan,1995,1.2421562065988503,0.06796838743061658,8.0804473,4.944364800799345,0,,0.0806682065988503
Asia,Afghanistan,1996,1.1795207888723527,0.07592520469932375,8.9693498,5.098415261341477,0,,0.08398478887235261
Asia,Afghanistan,1997,1.098565371145855,0.08388202196803093,9.8496135,5.252465721883608,0,,0.08730137114585494
Asia,Afghanistan,1998,1.0469219534193572,0.0918388392367381,10.579158900000001,5.406516182425739,0,,0.09061795341935727
Asia,Afghanistan,1999,0.8340625356928596,0.09979565650544528,11.5061305,5.560566642967871,0,,0.09393453569285959
Asia,Afghanistan,2000,0.822723117966362,0.07477647377415246,9.8838943,5.714617103510002,0,,0.09725111796636193
Asia,Afghanistan,2001,0.850430524938819,0.09008949458171042,8.373494800000001,5.89540705364514,0,,0.08099052493881898
Asia,Afghanistan,2002,1.105305931911276,0.10906651538926838,10.4085249,6.076197003780279,0,,0.064729931911276
Asia,Afghanistan,2003,1.206293338883733,0.13170753619682635,10.8354511,6.256986953915417,0,,0.04846933888373304
Asia,Afghanistan,2004,0.9445447458561901,0.1470205570043843,10.6220046,6.437776904050556,0,,0.032208745856190074
Asia,Afghanistan,2005,1.3130041528286471,0.15500557781194224,10.8981215,6.618566854185695,0,,0.015948152828647123
Asia,Afghanistan,2006,1.643197676214856,0.17116203416999165,10.9934743,6.815089419992222,0,,0.016381676214855874
Asia,Afghanistan,2007,2.270175199601065,0.17999049052804106,10.9371688,7.01161198579875,0,,0.016815199601064625
Asia,Afghanistan,2008,4.2015367229872735,0.20347494688609047,12.0168651,7.2081345516052755,0,,0.017248722987273375
Asia,Afghanistan,2009,6.766770246373483,0.21963140324413988,12.5517967,7.404657117411802,0,,0.017682246373482126
Asia,Afghanistan,2010,8.45264376975969,0.2431158596021893,14.332619500000002,7.601179683218331,0,,0.018115769759690876
Asia,Afghanistan,2011,12.230699705983684,0.26839481200057436,14.4067981,7.807114322584443,0,,0.018587705983681632
Asia,Afghanistan,2012,10.747251642207672,0.2936737643989594,15.4476157,8.013048961950554,0,,0.019059642207672388
Asia,Afghanistan,2013,10.000267578431663,0.3262807167973445,14.6253884,8.218983601316667,0,,0.019531578431663144
Asia,Afghanistan,2014,9.769907514655655,0.37720766919572957,14.7941148,8.42491824068278,0,,0.0200035146556539
Europe,Albania,1990,7.498514606121834,0.3884301181624223,3.2514396000000003,0.5535802883418832,0.1441508,3.1355396428262505,0.7829749632955838
Europe,Albania,1991,5.323079690097953,0.3150839661917541,2.9221154,0.5586801139968949,0.1441508,2.194365268062273,0.6387144220356797
Europe,Albania,1992,3.337644774074072,0.11349781422108599,2.8555880000000005,0.5637799396519065,0.1441508,1.273190893298296,0.49445388077577573
